date,noncomm_short,noncomm_long,open_interest_all,net
1991-07-31,12187,20487,96529,8300
1991-08-15,17010,18460,96182,1450
1991-08-30,18416,19447,87980,1031
1991-09-16,14322,24077,86917,9755
1991-09-30,5901,24676,86818,18775
1991-10-15,7294,23108,90476,15814
1991-10-31,5719,23464,93747,17745
1991-11-15,10699,19832,89210,9133
1991-11-29,7906,18943,81040,11037
1991-12-13,23459,17215,96584,-6244
1991-12-31,19802,18786,96843,-1016
1992-01-15,10827,24533,98251,13706
1992-01-31,5828,27954,96343,22126
1992-02-14,5890,27420,94260,21530
1992-02-28,5989,25195,87607,19206
1992-03-13,6020,24606,87719,18586
1992-03-31,4661,27195,90245,22534
1992-04-15,10549,21324,96449,10775
1992-04-30,16537,23837,94565,7300
1992-05-15,7604,22686,85822,15082
1992-05-29,8321,22062,86029,13741
1992-06-15,5381,22793,84018,17412
1992-06-30,14043,20216,80383,6173
1992-07-15,13432,20994,81509,7562
1992-07-31,11364,20609,80767,9245
1992-08-14,15123,18372,83052,3249
1992-08-31,12992,20183,79526,7191
1992-09-15,6254,17395,72642,11141
1992-09-30,6896,18449,71889,11553
1992-10-06,7333,18538,71249,11205
1992-10-13,7304,18799,70054,11495
1992-10-20,6818,19438,73618,12620
1992-10-27,5916,20059,73045,14143
1992-11-03,5363,20605,73513,15242
1992-11-10,5220,22417,80667,17197
1992-11-17,4273,19292,76501,15019
1992-11-24,4547,19597,75530,15050
1992-12-01,3947,19225,71438,15278
1992-12-08,3947,18530,70866,14583
1992-12-15,5410,18533,71331,13123
1992-12-22,4756,19206,71986,14450
1992-12-29,7492,17683,75202,10191
1993-01-05,9198,17494,77640,8296
1993-01-12,6629,16665,79540,10036
1993-01-19,5350,17367,81358,12017
1993-01-26,3412,19557,80602,16145
1993-02-02,5225,18064,79200,12839
1993-02-09,5406,18480,80481,13074
1993-02-16,2831,17855,83013,15024
1993-02-23,15863,17134,96768,1271
1993-03-02,15709,18468,88353,2759
1993-03-09,15289,17497,88224,2208
1993-03-16,7529,18086,82860,10557
1993-03-23,7697,19933,84475,12236
1993-03-30,3111,30367,92679,27256
1993-04-06,2905,37132,96947,34227
1993-04-13,1562,34734,95518,33172
1993-04-20,2218,34580,98978,32362
1993-04-27,2676,36714,109531,34038
1993-05-04,5091,34985,104252,29894
1993-05-11,5249,34921,104248,29672
1993-05-18,4895,33558,107217,28663
1993-05-25,5429,32697,107080,27268
1993-06-01,6808,30799,107638,23991
1993-06-08,5478,27774,103993,22296
1993-06-15,4439,23262,99004,18823
1993-06-22,7540,25541,101769,18001
1993-06-29,1925,26676,102978,24751
1993-07-06,5071,31980,103506,26909
1993-07-13,5491,35703,108242,30212
1993-07-20,6452,34079,108548,27627
1993-07-27,6753,34677,106962,27924
1993-08-03,7940,37152,114900,29212
1993-08-10,7567,31158,107703,23591
1993-08-17,4240,29503,106813,25263
1993-08-24,4264,29165,108322,24901
1993-08-31,3872,33702,99584,29830
1993-09-07,4966,30745,96390,25779
1993-09-14,6014,31405,95741,25391
1993-09-21,6270,29242,92402,22972
1993-09-28,5366,29077,91233,23711
1993-10-05,5123,28839,90461,23716
1993-10-12,3224,29107,93580,25883
1993-10-19,3737,27441,92657,23704
1993-10-26,3303,27361,96200,24058
1993-11-02,6697,28063,101263,21366
1993-11-09,5774,27749,102013,21975
1993-11-16,3788,28473,101279,24685
1993-11-23,4704,25180,103903,20476
1993-11-30,4671,25243,92806,20572
1993-12-07,5086,31395,107222,26309
1993-12-14,3732,33858,110272,30126
1993-12-21,3020,33953,112332,30933
1993-12-28,3049,35169,114054,32120
1994-01-04,3881,37925,118041,34044
1994-01-11,4026,35230,106964,31204
1994-01-18,4160,39290,111477,35130
1994-01-25,4191,39111,110651,34920
1994-02-01,4016,39786,114278,35770
1994-02-08,4361,43110,119135,38749
1994-02-15,3354,37768,117655,34414
1994-02-22,3758,37996,115482,34238
1994-03-01,3427,40447,107929,37020
1994-03-08,3749,38995,107057,35246
1994-03-15,3562,46211,113823,42649
1994-03-22,4415,48168,116536,43753
1994-03-29,5243,49430,116902,44187
1994-04-05,5530,45371,117410,39841
1994-04-12,5155,40308,113560,35153
1994-04-19,6331,43553,114547,37222
1994-04-26,7572,45671,127858,38099
1994-05-03,7009,49092,120110,42083
1994-05-10,5880,47958,114017,42078
1994-05-17,5035,53632,119947,48597
1994-05-24,5958,61290,130249,55332
1994-05-31,4890,60055,128229,55165
1994-06-07,4877,51936,124445,47059
1994-06-14,4722,51862,124907,47140
1994-06-21,4867,55431,124718,50564
1994-06-28,6339,56156,126877,49817
1994-07-05,5604,58755,121780,53151
1994-07-12,5923,55479,122756,49556
1994-07-19,7738,55265,123282,47527
1994-07-26,7908,54753,119638,46845
1994-08-02,8818,53320,120551,44502
1994-08-09,11093,50963,122383,39870
1994-08-16,10803,45457,121690,34654
1994-08-23,8875,40921,110711,32046
1994-08-30,3896,47535,111767,43639
1994-09-06,1828,50445,108333,48617
1994-09-13,3846,44123,107876,40277
1994-09-20,3465,52246,115191,48781
1994-09-27,4083,55832,119912,51749
1994-10-04,3045,57779,125315,54734
1994-10-11,3427,51859,121787,48432
1994-10-18,3886,41180,113406,37294
1994-10-25,3982,34998,111247,31016
1994-11-01,5743,36075,113989,30332
1994-11-08,7915,36072,115777,28157
1994-11-15,14835,31044,131753,16209
1994-11-22,14895,29997,137656,15102
1994-11-29,16176,28541,140148,12365
1994-12-06,19490,27529,137536,8039
1994-12-13,20077,25278,135027,5201
1994-12-20,18461,26418,131634,7957
1994-12-27,19799,27194,133327,7395
1995-01-03,18165,26028,131937,7863
1995-01-10,19120,25475,133353,6355
1995-01-17,15829,23463,132566,7634
1995-01-24,13578,22623,131736,9045
1995-01-31,16430,22770,135922,6340
1995-02-07,16355,22263,138558,5908
1995-02-14,13115,20422,140848,7307
1995-02-21,12782,20145,140784,7363
1995-02-28,15391,24229,138076,8838
1995-03-07,15669,20315,134360,4646
1995-03-14,12019,19008,131101,6989
1995-03-21,11532,19093,131372,7561
1995-03-28,11413,20341,134153,8928
1995-04-04,5817,21123,130183,15306
1995-04-11,6221,25463,129877,19242
1995-04-18,3469,26492,132264,23023
1995-04-25,2946,27080,125453,24134
1995-05-02,3395,28960,117477,25565
1995-05-09,4035,28429,117829,24394
1995-05-16,2965,20122,109851,17157
1995-05-23,4011,18076,107691,14065
1995-05-30,6573,17557,107938,10984
1995-06-06,7857,16510,108529,8653
1995-06-13,4824,16344,108288,11520
1995-06-20,4719,17296,112393,12577
1995-06-27,5265,18856,105404,13591
1995-07-03,10727,17271,106230,6544
1995-07-11,11100,17207,102370,6107
1995-07-18,7711,16938,99852,9227
1995-07-25,7991,18503,99729,10512
1995-08-01,9724,19207,102987,9483
1995-08-08,8931,18984,108222,10053
1995-08-15,8213,21179,113220,12966
1995-08-22,4422,30647,116078,26225
1995-08-29,4142,31212,115300,27070
1995-09-05,3132,24241,99553,21109
1995-09-12,2799,25589,93479,22790
1995-09-19,3462,28831,96393,25369
1995-09-26,1654,29796,95062,28142
1995-10-03,3330,26334,96978,23004
1995-10-10,4155,25153,98775,20998
1995-10-17,5577,25032,103036,19455
1995-10-24,5732,25162,104749,19430
1995-10-31,4462,25809,106062,21347
1995-11-07,5685,25210,107649,19525
1995-11-14,5524,24223,106133,18699
1995-11-21,6100,23712,103562,17612
1995-11-28,13581,25693,105592,12112
1995-12-05,14372,27207,96034,12835
1995-12-12,15421,27209,95363,11788
1995-12-19,14930,25507,94931,10577
1995-12-26,14560,25056,95095,10496
1996-01-02,10881,24745,96849,13864
1996-01-09,4848,30385,97404,25537
1996-01-16,4572,32524,98602,27952
1996-01-23,3529,31827,100483,28298
1996-01-30,3981,31211,103186,27230
1996-02-06,3953,36147,111001,32194
1996-02-13,3638,34501,114098,30863
1996-02-20,3701,30857,108505,27156
1996-02-27,2538,26648,97767,24110
1996-03-05,3216,22283,87724,19067
1996-03-12,1329,24166,89503,22837
1996-03-19,1739,28102,91666,26363
1996-03-26,1613,34594,98108,32981
1996-04-02,3477,30800,97836,27323
1996-04-09,8558,30441,102885,21883
1996-04-16,13261,25763,105657,12502
1996-04-23,15245,22668,98307,7423
1996-04-30,16032,25210,98613,9178
1996-05-07,13438,27002,97372,13564
1996-05-14,13320,26582,99017,13262
1996-05-21,17736,21543,101303,3807
1996-05-28,16939,21454,100879,4515
1996-06-04,16609,22311,103265,5702
1996-06-11,20372,22340,110039,1968
1996-06-18,20506,20693,114585,187
1996-06-25,18519,20626,111021,2107
1996-07-02,18477,19421,99240,944
1996-07-09,16867,19752,98079,2885
1996-07-16,22302,21533,107865,-769
1996-07-23,26950,20902,112387,-6048
1996-07-30,21593,19281,106664,-2312
1996-08-06,22593,20130,111123,-2463
1996-08-13,20377,19579,109171,-798
1996-08-20,9459,20568,100042,11109
1996-08-27,5328,21258,92819,15930
1996-09-03,5207,21775,88829,16568
1996-09-10,7057,19838,87994,12781
1996-09-17,12377,18288,92555,5911
1996-09-24,22345,18566,98308,-3779
1996-10-01,19490,19026,97749,-464
1996-10-08,19280,19085,97644,-195
1996-10-15,15432,21705,92944,6273
1996-10-22,15997,18496,94098,2499
1996-10-29,18292,18772,97500,480
1996-11-05,19766,18434,96727,-1332
1996-11-12,18529,17465,94736,-1064
1996-11-19,16578,16506,91682,-72
1996-11-26,18536,16902,89184,-1634
1996-12-03,18011,16738,86368,-1273
1996-12-10,14645,16095,84492,1450
1996-12-17,10522,16659,83189,6137
1996-12-24,11264,15569,81991,4305
1996-12-31,15845,16155,84693,310
1997-01-07,20767,18288,89321,-2479
1997-01-14,24449,22560,94028,-1889
1997-01-21,23421,21176,93223,-2245
1997-01-28,10856,21369,89571,10513
1997-02-04,12154,20788,90098,8634
1997-02-11,11833,19074,91079,7241
1997-02-18,4300,29180,99563,24880
1997-02-25,4026,30374,93596,26348
1997-03-04,1602,33000,90813,31398
1997-03-11,2576,32071,89019,29495
1997-03-18,3122,30866,89969,27744
1997-03-25,3784,28240,88713,24456
1997-04-01,6952,25177,93926,18225
1997-04-08,17317,20575,99130,3258
1997-04-15,19120,20684,101823,1564
1997-04-22,18435,18051,98005,-384
1997-04-29,19867,18139,91260,-1728
1997-05-06,17869,18018,86192,149
1997-05-13,15333,18927,85327,3594
1997-05-20,22254,18499,90268,-3755
1997-05-27,22193,19974,89477,-2219
1997-06-03,22602,20265,91915,-2337
1997-06-10,18647,19340,88045,693
1997-06-17,20135,19667,90655,-468
1997-06-24,13632,19132,88950,5500
1997-07-01,21457,19203,93480,-2254
1997-07-08,25419,17651,99053,-7768
1997-07-15,25080,17693,99155,-7387
1997-07-22,27561,18583,94829,-8978
1997-07-29,29441,19062,97777,-10379
1997-08-05,25851,19153,94293,-6698
1997-08-12,24558,18988,92228,-5570
1997-08-19,20044,17857,88932,-2187
1997-08-26,10782,16539,82848,5757
1997-09-02,10946,16399,77184,5453
1997-09-09,10576,18542,77878,7966
1997-09-16,13451,18546,78406,5095
1997-09-23,11781,17738,78039,5957
1997-09-30,8321,40463,95589,32142
1997-10-07,8629,43323,104480,34694
1997-10-14,10197,41833,103011,31636
1997-10-21,13055,39795,99037,26740
1997-10-28,15073,29786,92847,14713
1997-11-04,16542,31952,95965,15410
1997-11-11,17025,34651,94993,17626
1997-11-18,15195,39799,98554,24604
1997-11-25,7964,48407,94257,40443
1997-12-02,7858,48359,89243,40501
1997-12-09,7661,45081,89550,37420
1997-12-16,7764,49495,94552,41731
1997-12-23,8919,51855,98820,42936
1997-12-30,10022,52149,98558,42127
1998-01-06,10113,51594,97490,41481
1998-01-13,7221,44921,92507,37700
1998-01-20,7280,43479,92731,36199
1998-01-27,5472,45771,97404,40299
1998-02-03,6033,52932,106274,46899
1998-02-10,5186,53144,111633,47958
1998-02-17,4617,53813,113004,49196
1998-02-24,5541,51662,102156,46121
1998-03-03,4183,49878,97626,45695
1998-03-10,4437,49305,97317,44868
1998-03-17,5057,40039,90971,34982
1998-03-24,3768,35861,85814,32093
1998-03-31,3525,37432,85986,33907
1998-04-07,2530,38793,87773,36263
1998-04-14,3024,38606,86079,35582
1998-04-21,3764,37320,81336,33556
1998-04-28,3608,37218,77206,33610
1998-05-05,4082,36486,74273,32404
1998-05-12,6532,33068,76225,26536
1998-05-19,13975,30551,82076,16576
1998-05-26,14572,29236,84069,14664
1998-06-02,19771,32212,93121,12441
1998-06-09,18868,33273,94321,14405
1998-06-16,15286,29280,92339,13994
1998-06-23,11868,29370,91947,17502
1998-06-30,11433,30414,79898,18981
1998-07-07,11041,29066,75445,18025
1998-07-14,10769,29569,76839,18800
1998-07-21,9965,32248,81787,22283
1998-07-28,2247,32914,80261,30667
1998-08-04,3512,33391,81012,29879
1998-08-11,6483,32264,82378,25781
1998-08-18,12433,31039,83930,18606
1998-08-25,14672,31874,83468,17202
1998-09-01,21464,30157,79403,8693
1998-09-08,20847,30026,76854,9179
1998-09-15,18476,29339,72989,10863
1998-09-22,18436,30608,74894,12172
1998-09-29,7307,31316,72508,24009
1998-10-06,6245,29448,72198,23203
1998-10-13,10540,28426,74184,17886
1998-10-20,10973,28789,74847,17816
1998-10-27,11440,28808,76173,17368
1998-11-03,9397,28055,74429,18658
1998-11-10,7831,28143,75074,20312
1998-11-17,8319,27325,77804,19006
1998-11-24,11885,26256,76932,14371
1998-12-01,12850,28329,74764,15479
1998-12-08,21298,28158,82305,6860
1998-12-15,19953,27150,80768,7197
1998-12-22,14689,27868,76273,13179
1998-12-29,14744,28994,75987,14250
1999-01-05,13288,29939,76063,16651
1999-01-12,4415,37222,80352,32807
1999-01-19,4701,34777,76822,30076
1999-01-26,4594,34715,76505,30121
1999-02-02,3962,44079,89734,40117
1999-02-09,2869,56505,100332,53636
1999-02-16,3405,55186,98123,51781
1999-02-23,3587,54471,95748,50884
1999-03-02,3430,55330,97800,51900
1999-03-09,1962,43428,85178,41466
1999-03-16,3932,33646,80622,29714
