date,open_interest_all,net
1991-03-28,105335,23213
1991-04-15,98063,19561
1991-04-30,95163,18304
1991-05-15,95414,20806
1991-05-31,98889,17334
1991-06-14,108901,27758
1991-06-28,97162,27870
1991-07-15,97616,23452
1991-07-31,96529,8300
1991-08-15,96182,1450
1991-08-30,87980,1031
1991-09-16,86917,9755
1991-09-30,86818,18775
1991-10-15,90476,15814
1991-10-31,93747,17745
1991-11-15,89210,9133
1991-11-29,81040,11037
1991-12-13,96584,-6244
1991-12-31,96843,-1016
1992-01-15,98251,13706
1992-01-31,96343,22126
1992-02-14,94260,21530
1992-02-28,87607,19206
1992-03-13,87719,18586
1992-03-31,90245,22534
1992-04-15,96449,10775
1992-04-30,94565,7300
1992-05-15,85822,15082
1992-05-29,86029,13741
1992-06-15,84018,17412
1992-06-30,80383,6173
1992-07-15,81509,7562
1992-07-31,80767,9245
1992-08-14,83052,3249
1992-08-31,79526,7191
1992-09-15,72642,11141
1992-09-30,71889,11553
1992-10-06,71249,11205
